"codigo","referencia","descrição","preço","custo","linha","usuario","comissão","preço_vista","mvista","mprazo","estmin","estmax","fabrica","menor","mmenor","promoção","letras","balança","marca","modelo","cmedio","outros","clas_fiscal","sit_fiscal","saldo","unidade","empresa","nomelinha","auto","subs","ncm","icm","und","aliquota","saldoa","ippt","saldoc","saldoatual","dif","cest","origem","csosn","cfop","idcsosn","idcfop","promox","saldomes","fornecedor","ativo","espec","saldo1","pvista","pprazo","blmargem","encomenda","local","perecivel","venclote"
142,"142","AL 1310 NF Sup p/União 2/3 Vidros em L ",24.73,16.50,9,"SISTEMA",0,24.73,0,0,10,0,"*",17.02,0,0.00,"*","*","*","*",11.03,0,"OK 2021","060",11.00,"*",1,"AL INDÚSTRIA        ",126,1,"39252000","1800","UND","0000",0.000,"*",43.00,180.00,20.00,"1001800",0,60,5405,5,3,"*",91.00,0,0,1,11.00,0.00,0.00,0,0,"*","N","0000-00-00"
143,"143","AL 1310 BZ Sup p/União 2/3 Vidros em L ",24.73,16.50,9,"SISTEMA",0,24.73,0,0,10,0,"*",17.02,0,0.00,"*","*","*","*",11.03,0,"OK 2021","060",32.00,"*",1,"AL INDÚSTRIA        ",127,1,"39252000","1800","UND","0000",0.000,"*",32.00,20.00,-1.00,"1001800",0,60,5405,5,3,"*",176.00,0,0,1,30.00,0.00,0.00,0,0,"*","N","0000-00-00"
144,"144","AL 1310 PT Sup p/União 2/3 Vidros em L",24.73,16.50,9,"COMPRAS",0,24.73,0,0,10,0,"*",17.02,0,0.00,"*","*","*","*",11.03,0,"OK 2021","060",21.00,"*",1,"AL INDÚSTRIA        ",128,1,"39252000","1800","UND","0000",0.000,"*",18.00,6.00,0.00,"1001800",0,0,5102,0,0,"*",165.00,143130,0,1,21.00,0.00,0.00,0,0,"*","N","0000-00-00"
9275,"9275","Maçaneta 13 Reta Bronze (Antique) - Stam",43.70,29.13,55,"FINANCEIRO",0,43.70,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",50.00,"*",1,"STAM                ",7790,0,"83016000","12","UND","0000",0.000,"*",17.00,14.00,0.00,"0102400",0,0,5102,0,0,"*",17.00,999999,0,1,50.00,0.00,0.00,0,0,"*","N","0000-00-00"
9271,"9271","SM 1013S BC Pivô Invertido p/Dob Inf Z - Glasspeças",7.42,4.64,47,"FABIO",0,7.42,60,60,0,0,"*",6.50,40,0.00,"*","*","*","*",0.00,0,"OK 2021","060",95.00,"*",1,"GLASSPEÇAS          ",7786,0,"83024100","18","UND","0000",0.000,"*",35.00,32.00,0.00,"1007400",0,60,5405,5,3,"*",-16.00,138135,0,1,67.00,0.00,0.00,0,0,"*","N","0000-00-00"
11089,"11089","F1 Elegance 250 Rosê - KT009",1753.00,1263.00,63,"SISTEMA",0,1753.00,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",0.00,"*",1,"IDEIA GLASS         ",9630,1,"76101000","1800","UND","0000",0.000,"*",0.00,0.00,0.00,"0",0,0,5102,0,0,"*",0.00,0,0,1,0.00,0.00,0.00,0,0,"*","N","0000-00-00"
161,"161","AL 1329 BC Suporte de Centro",10.54,7.02,9,"COMPRAS",0,10.54,50,50,290,0,"*",9.14,30,0.00,"*","*","*","*",4.31,0,"OK 2021","060",70.00,"*",1,"AL INDÚSTRIA        ",145,1,"39252000","1800","UND","0000",0.000,"*",341.00,-17.00,204.00,"1001800",0,60,5405,5,3,"*",3549.00,143130,0,1,70.00,0.00,0.00,0,0,"*","N","0000-00-00"
162,"162","AL 1329 NF Suporte de Centro ",10.03,6.66,9,"FINANCEIRO",0,10.03,0,0,20,0,"*",6.87,0,0.00,"*","*","*","*",4.31,0,"OK 2021","060",138.00,"*",1,"AL INDÚSTRIA        ",146,1,"39252000","1800","UND","0000",0.000,"*",93.00,257.00,87.00,"1001800",0,60,5405,5,3,"*",1894.00,999999,0,1,136.00,0.00,0.00,0,0,"*","N","0000-00-00"
163,"163","AL 1329 BZ Suporte de Centro",10.03,6.66,9,"FINANCEIRO",0,10.03,0,0,40,0,"*",6.87,0,0.00,"*","*","*","*",4.31,0,"OK 2021","060",24.00,"*",1,"AL INDÚSTRIA        ",147,1,"39252000","1800","UND","0000",0.000,"*",8.00,132.00,8.00,"1001800",0,60,5405,5,3,"*",1073.00,999999,0,1,27.00,0.00,0.00,0,0,"*","N","0000-00-00"
164,"164","AL 1329 PT Suporte de Centro ",10.53,7.02,9,"COMPRAS",0,10.53,50,50,30,0,"*",9.13,30,0.00,"*","*","*","*",4.31,0,"OK 2021","060",177.00,"*",1,"AL INDÚSTRIA        ",148,1,"39252000","1800","UND","0000",0.000,"*",181.00,163.00,0.00,"1001800",0,60,5405,5,3,"*",2592.00,143130,0,1,182.00,0.00,0.00,0,0,"*","N","0000-00-00"
165,"165","AL 1335 BC Sup Centro Trinco s/Miolo",14.06,9.37,9,"COMPRAS",0,14.06,50,50,345,0,"*",12.18,30,0.00,"*","*","*","*",7.07,0,"OK 2021","060",-163.00,"*",1,"AL INDÚSTRIA        ",149,1,"39252000","1800","UND","0000",0.000,"*",337.00,-136.00,304.00,"1001800",0,60,5405,5,3,"*",1089.00,143130,0,1,0.00,0.00,0.00,0,0,"*","N","0000-00-00"
166," ","AL 1335 NF Sup Centro Trinco s/Miolo",14.06,9.37,9,"FINANCEIRO",0,14.06,50,50,155,0,"*",12.18,30,0.00,"*","*","*","*",7.07,0,"OK 2021","000",51.00,"*",1,"AL INDÚSTRIA        ",150,0,"39252000","1800","UND","0000",0.000,"*",183.00,-140.00,339.00,"1001800",0,60,5405,5,3,"*",1885.00,143130,0,1,65.00,0.00,0.00,0,0,"*","N","0000-00-00"
167,"167","AL 1335 BZ Sup Centro Trinco s/Miolo",14.06,9.37,9,"FINANCEIRO",0,14.06,50,50,40,0,"*",12.18,30,0.00,"*","*","*","*",7.07,0,"OK 2021","060",3.00,"*",1,"AL INDÚSTRIA        ",151,1,"39252000","1800","UND","0000",0.000,"*",143.00,223.00,-4.00,"1001800",0,60,5405,5,3,"*",1359.00,143130,0,1,3.00,0.00,0.00,0,0,"*","N","0000-00-00"
168,"168","AL 1335 PT Sup Centro Trinco s/Miolo",14.99,9.37,9,"FABIO",0,14.99,60,60,50,0,"*",13.12,40,0.00,"*","*","*","*",7.07,0,"Ok 2021","060",-186.00,"*",1,"AL INDÚSTRIA        ",152,1,"39252000","1800","UND","0000",0.000,"*",157.00,266.00,-72.00,"1001800",0,60,5405,5,3,"*",1398.00,143130,0,1,0.00,0.00,0.00,0,0,"*","N","0000-00-00"
11569,"11569","RS-150 SUPREMA Roldana Dupla p/Trilho Conv 150Kg ",26.89,20.77,125,"CEZAR",0,26.89,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",1.40,0,"OK 2021","060",74.00,"*",1,"ALUSHOW             ",10117,1,"83022000","1800","UND","0000",0.000,"*",0.00,0.00,0.00,"0",0,60,5405,5,3,"*",10.00,999999,0,1,4.00,0.00,0.00,0,0,"*","N","0000-00-00"
13394,"13394","UDI Mola De Embutir UD84 PRATA ",340.26,212.00,15,"COMPRAS",0,340.26,50,50,0,0,"*",294.89,30,0.00,"*","*","*","*",55.00,0,"OK 2023","000",-3.00,"*",1,"UDINESE             ",11954,0,"83026000","1200","UND","0000",0.000,"*",0.00,0.00,0.00,"0",0,0,5102,0,0,"*",0.00,4624,0,1,0.00,0.00,0.00,0,0,"*","N","0000-00-00"
9324,"","gelatina sabores apt1 35g",0.00,0.77,37,"SISTEMA",0,0.77,0.77,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"0","000",0.00,"*",1,"CESTA BASICA        ",7844,0,"21069029","0,00","UND","0000",0.000,"*",0.00,0.00,0.00,"0301100",0,60,5405,5,3,"*",0.00,0,0,1,0.00,0.00,0.00,0,0,"*","N","0000-00-00"
