"codigo","referencia","descrição","preço","custo","linha","usuario","comissão","preço_vista","mvista","mprazo","estmin","estmax","fabrica","menor","mmenor","promoção","letras","balança","marca","modelo","cmedio","outros","clas_fiscal","sit_fiscal","saldo","unidade","empresa","nomelinha","auto","subs","ncm","icm","und","aliquota","saldoa","ippt","saldoc","saldoatual","dif","cest","origem","csosn","cfop","idcsosn","idcfop","promox","saldomes","fornecedor","ativo","espec","saldo1"
994,"994","SM 1504 NF Contra Fechadura p/1520 - Glasspeças",23.20,15.44,47,"FINANCEIRO",0,23.20,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",9.90,0,"OK 2021","060",2.00,"*",1,"GLASSPEÇAS          ",909,1,"83016000","1800","UND","0000",0.000,"*",10.00,16.00,0.00,"0102400",0,0,5102,0,0,"*",1.00,138135,0,1,2.00
995,"995","SM 1504 PT Contra Fechadura p/1520 - Glasspeças",23.20,15.44,47,"FINANCEIRO",0,23.20,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",9.90,0,"OK 2021","060",20.00,"*",1,"GLASSPEÇAS          ",910,1,"83016000","1800","UND","0000",0.000,"*",70.00,192.00,0.00,"0102400",0,60,5405,5,3,"*",11.00,138135,0,1,21.00
998,"998","SM 1504A CR Contra Fechadura p/Alv - Glasspeças",8.07,5.38,47,"COMPRAS",0,8.07,50,50,0,0,"*",6.99,30,0.00,"*","*","*","*",3.78,0,"OK 2021","060",63.00,"*",1,"GLASSPEÇAS          ",913,1,"83014000","1800","UND","0000",0.000,"*",163.00,-73.00,239.00,"1007400",0,60,5405,5,3,"*",-31.00,138135,0,1,78.00
999,"999","SM 1504A NF Contra Fechadura p/Alv ",6.55,4.24,47,"FINANCEIRO",0,6.55,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",3.78,0,"OK 2021","060",37.00,"*",1,"GLASSPEÇAS          ",914,1,"83024100","1800","UND","0000",0.000,"*",79.00,110.00,-1.00,"1007400",0,0,5102,0,0,"*",17.00,138135,0,1,38.00
1000,"1000","SM 1504A PT Contra Fechadura p/Alv - Glasspeças",8.10,5.38,47,"COMPRAS",0,8.10,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",3.78,0,"OK 2021","060",79.00,"*",1,"GLASSPEÇAS          ",915,1,"83014000","1800","UND","0000",0.000,"*",47.00,12.00,0.00,"1007400",0,60,5405,5,3,"",120.00,138135,0,1,85.00
1001,"1001","SM 1510 BC Fec Bico de Pap Porta - Glasspeças",94.74,63.16,47,"COMPRAS",0,94.74,50,50,0,0,"*",82.11,30,0.00,"*","*","*","*",40.16,0,"OK 2021","060",2.00,"*",1,"GLASSPEÇAS          ",916,1,"83024100","1800","UND","0000",0.000,"*",31.00,-6.00,26.00,"1007400",0,60,5405,5,3,"*",7.00,138135,0,1,5.00
1004,"1004","SM 1510 NF Fec Bico de Pap Porta - Pegeral",94.70,63.13,47,"COMPRAS",0,94.70,50,50,0,0,"*",82.07,30,0.00,"*","*","*","*",40.16,0,"OK 2021","060",5.00,"*",1,"GLASSPEÇAS          ",919,1,"83024100","1800","UND","0000",0.000,"*",19.00,12.00,0.00,"1007400",0,0,5102,0,0,"*",8.00,999999,0,1,5.00
1005,"1005","SM 1510 PT Fec Bico de Pap Porta - Glasspeças",94.74,63.16,47,"COMPRAS",0,94.74,50,50,0,0,"*",82.11,30,0.00,"*","*","*","*",40.16,0,"OK 2021","060",52.00,"*",1,"GLASSPEÇAS          ",920,1,"83024100","1800","UND","0000",0.000,"*",51.00,32.00,0.00,"1007400",0,60,5405,5,3,"*",-2.00,138135,0,1,15.00
10462,"10462","BL 3105 BC Mancal Inf P/Porta - Glasspeças",10.74,7.15,47,"FINANCEIRO",0,10.74,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",13.58,0,"OK 2021","060",26.00,"*",1,"GLASSPEÇAS          ",8992,1,"83024900","1800","UND","0000",0.000,"*",2.00,0.00,0.00,"0",0,0,5102,0,0,"*",32.00,138135,0,1,26.00
1019,"1019","SM 1511P NF Contra Fechadura p/1510 - Pegeral",47.70,32.89,47,"FINANCEIRO",0,47.70,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",23.07,0,"OK 2021","060",8.00,"*",1,"GLASSPEÇAS          ",934,1,"83024100","1800","UND","0000",0.000,"*",0.00,23.00,20.00,"1007400",0,0,5102,0,0,"*",1.00,138135,0,1,8.00
