"linha","descrição","usuario","comissão","margem","empresa","descricao","estoque","obs"
130,"NORBOND","",0,0,1,"*",0,"*"
128,"ESTOQUE IMOBILIZADO","",0,0,1,"*",1,"*"
127,"ROAPLÁS","",0,0,1,"*",0,"*"
126,"ADERE","",0,0,1,"*",0,"*"
131,"MAESTRA","",0,0,1,"*",0,"*"
132,"WALSYWA","",0,0,1,"*",0,"*"
133,"ROSSI MOTORES","",0,0,1,"*",0,"*"
134,"PIACENTINI","",0,0,1,"*",0,"*"
135,"WR GLASS","",0,0,1,"*",0,"*"
136,"JOCEC","",0,0,1,"*",0,"*"
137,"TEKBOND","",0,0,1,"*",0,"*"
138,"VONDER OVD","",0,0,1,"*",0,"*"
139,"BELENUS","",0,0,1,"*",0,"*"
140,"CONCEITO","",0,0,1,"*",0,"*"
141,"ASSA ABLOY","",0,0,1,"*",0,"*"
142,"PILLER","",0,0,1,"*",0,"*"
143,"ALUMICONTE PALHETA","",0,0,1,"*",0,"*"
144,"T2M PRADO","",0,0,1,"*",0,"*"
145,"SIMAC","",0,0,1,"*",0,"*"
146,"RIO BENTO","",0,0,1,"*",0,"*"
147,"CIBRA","",0,0,1,"*",0,"*"
148,"GDS","",0,0,1,"*",0,"*"
149,"MULT PACK","",0,0,1,"*",0,"*"
150,"PROMOCIONAL","",0,0,1,"*",0,"* VENDEU GANHOU 5% DE COMISSÃO *"
155,"AMATOOLS","",0,0,1,"*",1,"AMATOOLS"
152,"SCHLEGEL","",0,0,1,"*",1,"SCHLEGEL"
153,"NOPLA METAIS ","",0,0,1,"*",1,"NOPLA METAIS"
154,"ACAV INOX","",0,0,1,"*",1,"ACAV INOX"
156,"TOP HOUSE","",0,0,1,"*",1,"TOP HOUSE"
157,"TOP HOUSE","",0,0,1,"*",1,"TOP HOUSE"
158,"CLARITY","",0,0,1,"*",1,"CLARITY"
159,"CLARITY","",0,0,1,"*",0,"CLARITY"
160,"INOXPAR","",0,0,1,"*",1,""
161,"EXPALUM","",0,0,1,"*",0,"EXPALUM"
162,"EXPALUM","",0,0,1,"*",1,"EXPALUM"
163,"TYTAN","",0,0,1,"*",1,"TYTAN"
