"codigo","referencia","descrição","preço","custo","linha","usuario","comissão","preço_vista","mvista","mprazo","estmin","estmax","fabrica","menor","mmenor","promoção","letras","balança","marca","modelo","cmedio","outros","clas_fiscal","sit_fiscal","saldo","unidade","empresa","nomelinha","auto","subs","ncm","icm","und","aliquota","saldoa","ippt","saldoc","saldoatual","dif","cest","origem","csosn","cfop","idcsosn","idcfop","promox"
4270,"4270","Fumê 750 Porta",331.11,231.35,19,"SISTEMA",0,331.11,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",98.70,0,"OK 2021","060",1.00,"*",1,"VIDRO               ",3149,1,"70071900","1800","UND","0000",0.000,"*",3.00,11.00,-2.00,"1003600",0,0,5102,0,0,"*"
4271,"4271","Fumê 750 Fixo",324.86,227.06,19,"SISTEMA",0,324.86,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",98.70,0,"OK 2021","060",5.00,"*",1,"VIDRO               ",3150,1,"70071900","1800","UND","0000",0.000,"*",8.00,17.00,-1.00,"1003600",0,0,5102,0,0,"*"
4272,"4272","Fumê 800 Porta",353.15,246.78,19,"SISTEMA",0,353.15,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",105.28,0,"OK 2021","060",3.00,"*",1,"VIDRO               ",3151,1,"70071900","1800","UND","0000",0.000,"*",8.00,7.00,0.00,"1003600",0,60,5405,5,3,"*"
4273,"4273","Fumê 800 Fixo",346.55,242.19,19,"SISTEMA",0,346.55,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",105.28,0,"OK 2021","060",9.00,"*",1,"VIDRO               ",3152,1,"70071900","1800","UND","0000",0.000,"*",6.00,10.00,0.00,"1003600",0,60,5405,5,3,"*"
4274,"4274","Fumê 850 Fixo",368.24,257.31,19,"SISTEMA",0,368.24,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",111.86,0,"OK 2021","060",5.00,"*",1,"VIDRO               ",3153,1,"70071900","1800","UND","0000",0.000,"*",4.00,8.00,0.00,"1003600",0,60,5405,5,3,"*"
4276,"4276","Fumê 850 Porta",375.18,262.21,19,"SISTEMA",0,375.18,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",111.86,0,"OK 2021","060",6.00,"*",1,"VIDRO               ",3155,1,"70071900","1800","UND","0000",0.000,"*",1.00,8.00,0.00,"1003600",0,60,5405,5,3,"*"
4277,"4277","Fumê 900 Porta",397.23,277.63,19,"SISTEMA",0,397.23,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",118.44,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3156,1,"70071900","1800","UND","0000",0.000,"*",0.00,1.00,0.00,"1003600",0,0,5102,0,0,"*"
4282,"4282","Antilope 400 Porta D",216.20,156.29,19,"SISTEMA",0,216.20,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",42.11,0,"OK 2021","060",9.00,"*",1,"VIDRO               ",3161,1,"70052100","1800","UND","0000",0.000,"*",9.00,12.00,0.00,"1003500",0,0,5102,0,0,"*"
4285,"4285","Antilope 450 Porta E",243.20,175.84,19,"SISTEMA",0,243.20,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",47.37,0,"OK 2021","060",4.00,"*",1,"VIDRO               ",3164,1,"70052100","1800","UND","0000",0.000,"*",6.00,10.00,-1.00,"1003500",0,0,5102,0,0,"*"
4287,"4287","Antilope 450 Fixo",238.66,172.58,19,"SISTEMA",0,238.66,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",47.37,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",3166,1,"70052100","1800","UND","0000",0.000,"*",10.00,15.00,-2.00,"1003500",0,0,5102,0,0,"*"
